Rk,Date,Home or Away,Opp,W/L,Points,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent DER
21.5,0.0,0.6,0.0,0.7,108.3,103.8,39.9,81.3,0.49379999999999996,7.7,22.2,0.3516,20.8,27.1,0.7670999999999999,8.2,37.9,20.8,9.9,5.2,11.7,21.5,37.8,80.7,0.47009999999999996,9.8,24.2,0.39669999999999994,18.4,24.3,0.7649,9.9,41.6,21.6,6.0,3.3,16.2,20.9,106.86000000000001,109.0
22.5,0.0,0.5,0.0,0.6,107.9,104.6,39.7,79.9,0.49870000000000003,7.8,22.6,0.35130000000000006,20.7,26.9,0.7684,7.8,38.0,21.3,8.9,5.1,11.4,20.9,38.3,80.0,0.4791,9.9,24.2,0.4013,18.1,24.5,0.7518,9.1,40.6,22.5,6.1,2.4,14.5,20.9,106.74000000000001,111.0
23.5,0.0,0.5,0.0,0.6,108.2,104.0,39.4,80.4,0.4918,7.8,23.2,0.3428,21.6,27.9,0.7718999999999999,7.8,38.0,21.1,9.6,5.2,11.2,22.2,37.2,79.5,0.4684000000000001,9.2,24.5,0.37639999999999996,20.4,26.8,0.7749,9.0,41.4,21.0,6.0,2.6,15.0,21.3,107.01000000000002,119.0
24.5,0.0,0.4,0.0,0.6,108.9,106.9,39.5,81.5,0.48500000000000004,8.0,23.9,0.3398,21.9,27.5,0.7920999999999999,8.5,38.2,21.1,9.5,5.0,11.4,21.8,38.1,79.8,0.47809999999999997,10.3,26.9,0.386,20.4,26.3,0.7892000000000001,8.8,41.1,22.1,6.4,2.7,14.8,21.2,107.08000000000001,109.0
25.5,0.0,0.3,0.0,0.6,109.5,108.2,39.4,81.5,0.4838,8.2,24.8,0.3374,22.5,28.3,0.7879999999999998,8.6,39.0,21.9,9.1,5.0,11.2,21.4,38.5,80.3,0.48019999999999996,10.9,27.2,0.4061,20.3,26.3,0.7834,8.7,40.4,22.5,6.3,3.1,13.8,21.6,107.42,106.0
26.5,0.0,0.4,0.0,0.5,109.2,108.9,40.2,83.3,0.4828,8.4,25.5,0.33659999999999995,20.4,25.8,0.7870999999999999,8.4,38.9,22.4,8.6,4.6,10.6,22.8,38.4,80.0,0.48069999999999996,10.7,26.9,0.4032,21.4,28.2,0.7679,9.0,41.4,22.7,5.8,3.7,13.9,20.8,107.28,106.0
27.5,0.0,0.3,0.0,0.5,109.8,109.3,40.6,83.8,0.48489999999999994,8.5,26.5,0.32599999999999996,20.1,25.8,0.7746,8.5,40.2,23.0,8.2,5.2,11.4,23.2,38.6,82.5,0.46929999999999994,10.7,27.5,0.3934,21.4,28.8,0.749,9.7,41.6,22.8,6.4,3.7,13.1,20.7,108.01000000000002,102.0
28.5,0.0,0.3,0.0,0.5,109.6,108.9,40.8,83.4,0.4902,8.2,25.8,0.3229,19.8,24.8,0.7991999999999999,7.9,39.7,23.1,8.5,4.7,11.8,22.9,38.4,80.9,0.4758,10.6,27.3,0.3922,21.5,28.7,0.7554,8.6,40.3,22.8,6.8,4.0,13.6,20.1,108.35999999999999,97.0
29.5,0.0,0.4,0.0,0.5,108.4,108.2,41.2,84.0,0.49169999999999997,8.3,26.3,0.3206,17.7,23.1,0.7609999999999999,8.4,40.0,23.7,8.4,4.8,11.7,22.8,38.7,81.7,0.4749,10.3,27.4,0.3785,20.5,28.1,0.7307999999999999,9.2,41.2,22.6,6.7,4.3,13.7,19.8,108.17,127.0
30.5,0.0,0.5,0.0,0.4,109.4,111.3,41.2,85.2,0.48469999999999996,8.9,27.3,0.3275,18.1,23.3,0.7693000000000001,8.6,40.2,24.2,8.5,4.5,12.0,22.2,39.9,83.2,0.481,10.9,28.4,0.3861,20.6,27.7,0.7423,8.9,41.7,23.1,6.8,4.8,13.3,19.5,108.38999999999999,122.0
